Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,65.160004,65.449997,63.150002,63.860001,63.860001,26017100
2018-04-03,64.339996,64.639999,63.410000,64.489998,64.489998,18050700
2018-04-04,63.310001,65.570000,63.169998,65.389999,65.389999,18149200
2018-04-05,65.989998,66.089996,65.220001,65.660004,65.660004,16369100
2018-04-06,64.980003,65.580002,63.770000,64.050003,64.050003,20238900
2018-04-09,64.519997,65.809998,64.470001,64.550003,64.550003,10929700
2018-04-10,65.570000,66.410004,65.209999,66.139999,66.139999,15648900
2018-04-11,65.730003,66.339996,65.639999,65.750000,65.750000,8657800
2018-04-12,66.160004,66.830002,66.070000,66.540001,66.540001,10628000
2018-04-13,67.000000,67.029999,66.000000,66.320000,66.320000,11210800
2018-04-16,66.779999,67.080002,66.389999,66.830002,66.830002,9738700
2018-04-17,67.419998,68.290001,67.300003,68.070000,68.070000,15222800
2018-04-18,68.000000,68.150002,67.480003,67.889999,67.889999,9882200
2018-04-19,67.459999,67.529999,66.900002,67.139999,67.139999,12905800
2018-04-20,66.940002,66.989998,65.930000,66.209999,66.209999,16238500
2018-04-23,66.459999,66.650002,65.660004,65.970001,65.970001,18960300
2018-04-24,66.349998,66.459999,64.349998,64.820000,64.820000,17423800
2018-04-25,64.919998,65.050003,64.000000,64.830002,64.830002,15290800
2018-04-26,65.639999,66.269997,65.370003,66.010002,66.010002,16543400
2018-04-27,66.669998,66.720001,65.540001,65.889999,65.889999,13147000
2018-04-30,66.059998,66.464996,65.375000,65.459999,65.459999,8685087
