Date,Open,High,Low,Close,Adj Close,Volume
2018-04-02,170.270004,171.070007,164.940002,166.880005,166.880005,954900
2018-04-03,168.220001,168.830002,165.789993,168.389999,168.389999,644500
2018-04-04,165.089996,171.130005,164.619995,170.619995,170.619995,581100
2018-04-05,172.139999,172.580002,170.190002,171.339996,171.339996,425400
2018-04-06,169.580002,171.139999,166.369995,167.199997,167.199997,493800
2018-04-09,168.440002,171.669998,168.199997,168.339996,168.339996,413300
2018-04-10,171.039993,173.179993,170.250000,172.479996,172.479996,622300
2018-04-11,171.440002,173.339996,170.910004,171.770004,171.770004,389500
2018-04-12,172.869995,174.690002,172.600006,173.910004,173.910004,303300
2018-04-13,174.970001,175.169998,172.429993,173.220001,173.220001,474500
2018-04-16,174.350006,175.149994,173.250000,174.419998,174.419998,343500
2018-04-17,175.990005,178.570007,175.669998,178.039993,178.039993,479100
2018-04-18,177.929993,178.339996,176.490005,177.740005,177.740005,399900
2018-04-19,176.669998,176.699997,175.009995,175.649994,175.649994,380100
2018-04-20,175.199997,175.279999,172.539993,173.190002,173.190002,824200
2018-04-23,173.919998,174.380005,171.679993,172.470001,172.470001,373500
2018-04-24,173.240005,173.770004,167.929993,169.210007,169.210007,640200
2018-04-25,169.589996,169.660004,166.800003,168.940002,168.940002,569900
2018-04-26,171.210007,173.029999,170.669998,172.369995,172.369995,342500
2018-04-27,174.020004,174.139999,170.750000,171.639999,171.639999,386300
2018-04-30,172.059998,173.314102,170.451004,170.960007,170.960007,509895
