Date,Bitcoin,EWJ,FDN,GLD,IWM,IWY,ROBO,SPY,DIA,TLT,UNG,USO,VGT,XLE,XLK,XLU,XLY
5/16/17,1718.2013,52.560001,95.050003,117.650002,138.630005,63.82,34.490002,240.080002,209.949997,121.510002,29.879999,10.11,144.199997,67.940002,56.130001,51.57,89.589996
5/17/17,1802.1638,52.48,91.82,119.790001,134.889999,62.610001,33.849998,235.820007,206.470001,123.279999,29.719999,10.19,140.050003,67.269997,54.599998,51.700001,88.139999
5/18/17,1887.3263,52.619999,92.5,118.809998,135.380005,63.099998,33.955002,236.770004,206.960007,123.419998,29.639999,10.26,140.729996,67.25,54.919998,51.880001,88.650002
5/19/17,1968.1025,53.049999,92.940002,119.400002,136.029999,63.299999,34.369999,238.309998,207.770004,123.709999,30.200001,10.48,141.529999,68.080002,55.240002,52.080002,89.25
5/22/17,2139.0275,53.02,93.540001,119.900002,136.949997,63.66,34.720001,239.520004,208.649994,123.370003,30.799999,10.54,142.979996,67.93,55.68,52.529999,89.699997
5/23/17,2291.4775,53.09,93.559998,119.139999,137.399994,63.759998,34.68,240.050003,209.119995,122.540001,29.959999,10.64,143.100006,68.089996,55.779999,52.669998,89.360001
5/24/17,2476.2963,53.009998,94.07,119.610001,137.490005,64.099998,34.619999,240.610001,209.820007,123.230003,29.719999,10.6,143.800003,67.730003,56.009998,52.970001,89.68
5/25/17,2357.5038,53.150002,95.050003,119.480003,137.580002,64.559998,34.75,241.759995,210.580002,123.269997,29.6,10.04,144.960007,66.5,56.41,53.400002,90.470001
5/26/17,2247.4825,53.18,95.18,120.540001,137.539993,64.610001,34.700001,241.710007,210.539993,123.480003,29.76,10.28,144.960007,66.610001,56.380001,53.400002,90.739998
5/30/17,2197.2338,53.290001,94.949997,120.139999,136.460007,64.669998,34.66,241.5,210.210007,124.089996,28.440001,10.24,145.320007,65.720001,56.619999,53.57,90.809998
5/31/17,2330.2338,53.290001,94.690002,120.620003,136.320007,64.690002,34.580002,241.440002,210,124.400002,27.68,9.96,144.919998,65.440002,56.529999,53.84,91.050003
6/1/17,2452.1813,53.77,95.889999,120.720001,138.949997,65.07,34.990002,243.360001,211.399994,124.150002,27.48,9.91,145.630005,65.849998,56.669998,54.220001,91.910004
6/2/17,2517.4088,54.900002,96.540001,121.610001,139.850006,65.57,35.43,244.169998,211.910004,125.620003,27.08,9.86,146.960007,65.089996,57.189999,54.279999,92.239998
6/5/17,2736.595,54.689999,96.809998,121.730003,138.979996,65.529999,35.5,243.990005,211.860001,124.839996,26.92,9.8,147.119995,65.209999,57.240002,54.110001,91.989998
6/6/17,2914.0825,54.73,96.269997,123.099998,138.850006,65.349998,35.369999,243.210007,211.369995,125.519997,27.440001,9.97,146.880005,65.980003,57.130001,53.990002,91.199997
6/7/17,2694.2188,54.709999,96.230003,122.449997,138.979996,65.580002,35.347,243.660004,211.720001,124.919998,27.16,9.46,147.199997,65.050003,57.310001,54.169998,91.360001
6/8/17,2825.0313,54.580002,97.519997,121.650002,140.880005,65.419998,35.465,243.779999,211.860001,124.589996,27.280001,9.43,147.789993,64.860001,57.439999,53.720001,90.769997
6/9/17,2826.7,54.09,94.639999,120.540001,141.610001,64.739998,35,243.410004,212.669998,124.400002,27.440001,9.49,143.690002,66.419998,56.02,53.669998,90.370003
6/12/17,2682.595,54.259998,93.809998,120.360001,141.380005,64.410004,34.630001,243.360001,212.399994,124.360001,27.08,9.52,142.600006,66.889999,55.689999,53.57,90.32
6/13/17,2738.9313,54.560001,94.589996,120.480003,142.100006,64.910004,34.84,244.550003,213.369995,124.379997,26.719999,9.6,143.839996,67.389999,56.09,53.700001,90.879997
6/14/17,2494.485,54.529999,94.279999,119.82,141.259995,64.940002,34.740002,244.240005,213.839996,126.300003,26.48,9.23,143.009995,66.169998,55.82,53.990002,90.830002
6/15/17,2456.9238,54,93.910004,119.32,140.539993,64.720001,34.389999,243.770004,213.690002,126.099998,27.440001,9.18,142.339996,65.669998,55.57,54.299999,90.449997
6/16/17,2528.1025,54.220001,94.080002,119.339996,140.190002,64.639999,34.560001,242.639999,213.559998,126.349998,27.32,9.24,142.110001,66.300003,55.25,54.110001,90.150002
6/19/17,2641.665,54.389999,95.349998,118.43,141.229996,65.339996,35,244.660004,214.919998,126.169998,26.120001,9.12,144.399994,65.879997,56.07,53.93,90.839996
6/20/17,2778.8275,54.060001,94.470001,118.18,139.800003,65.010002,34.810001,243.009995,214.399994,127.300003,26.120001,8.95,143.199997,65.040001,55.619999,53.959999,89.699997
6/21/17,2712.1575,53.98,95.419998,118.519997,139.449997,65.32,34.810001,242.949997,213.889999,127.559998,26.08,8.71,144.169998,63.990002,55.93,53.639999,89.839996
6/22/17,2740.79,54.09,95.830002,118.919998,139.979996,65.290001,34.84,242.839996,213.729996,127.839996,26.08,8.78,144.389999,63.950001,55.950001,53.389999,89.629997
6/23/17,2738.225,54.049999,96.879997,119.43,140.910004,65.459999,34.880001,243.130005,213.740005,127.779999,26.4,8.86,145.339996,64.379997,56.299999,53.209999,89.519997
6/26/17,2485.3588,53.900002,96.099998,118.360001,141.080002,65.279999,34.799999,243.289993,213.869995,128.259995,27.360001,8.93,144.559998,64.239998,56,53.57,89.839996
6/27/17,2593.17,53.77,94.529999,118.809998,139.839996,64.510002,34.509998,241.330002,212.929993,126.889999,27.360001,9.1,142.130005,64.139999,55.080002,52.970001,89.129997
6/28/17,2584.5638,54.009998,96.129997,118.900002,141.979996,65.139999,34.689999,243.490005,214.240005,126.470001,27.559999,9.2,143.570007,64.489998,55.77,52.459999,90.029999
6/29/17,2561.5613,53.470001,94.599998,118.32,141.139999,64.260002,34.25,241.350006,212.610001,125.410004,27.280001,9.21,141.029999,64.629997,54.77,52.040001,89.160004
6/30/17,2499.9838,53.650002,94.739998,118.019997,140.919998,64.480003,34.279999,241.800003,213.240005,125.120003,27.120001,9.5,140.839996,64.919998,54.720001,51.959999,89.629997
7/3/17,2581.0663,53.389999,93.860001,116.089996,142.100006,64.129997,34.110001,242.210007,214.490005,124.459999,26.639999,9.62,139.699997,66.169998,54.34,51.720001,89.540001
7/5/17,2629.2725,53.400002,94.830002,116.519997,141.589996,64.5,34.150002,242.770004,214.580002,124.489998,25.52,9.25,141.139999,64.830002,54.880001,51.470001,89.32
7/6/17,2619.1125,53.009998,93.669998,116.470001,139.139999,63.75,33.82,240.550003,213.139999,123.459999,25.799999,9.31,139.869995,64.110001,54.380001,51.450001,88.410004
7/7/17,2521.2363,52.98,94.919998,115.279999,140.490005,64.290001,34.150002,242.110001,214.050003,122.720001,25.559999,9.1,141.699997,64.010002,55.009998,51.490002,89.199997
7/10/17,2371.96,52.84,95.900002,115.470001,139.880005,64.639999,34.369999,242.369995,213.990005,122.900002,26.08,9.13,142.729996,64.220001,55.41,51.450001,89.389999
7/11/17,2332.1875,53.200001,96.349998,115.620003,140.289993,64.650002,34.610001,242.190002,213.979996,123.110001,27.120001,9.27,143.279999,64.57,55.529999,51.419998,89.209999
7/12/17,2423.16,53.57,98.110001,116.029999,141.369995,65.300003,35.009998,244.009995,215.229996,123.959999,26.799999,9.33,145.240005,64.75,56.25,51.860001,89.889999
7/13/17,2364.5163,53.5,98.120003,115.82,141.490005,65.370003,35.02,244.419998,215.460007,123.18,26.52,9.47,145.589996,65.010002,56.360001,51.68,89.900002
7/14/17,2232.655,53.630001,98.669998,116.769997,141.729996,65.779999,35.360001,245.559998,216.259995,123.330002,26.639999,9.59,146.779999,65.400002,56.860001,51.919998,90.190002
7/17/17,2244.265,53.560001,98.870003,117.290001,142.059998,65.790001,35.290001,245.529999,216.220001,123.669998,27.040001,9.45,146.869995,65.32,56.869999,52.16,90.410004
7/18/17,2327.8975,53.84,100.400002,118.110001,141.690002,66.059998,35.369999,245.660004,215.699997,124.75,27.48,9.54,147.570007,65.010002,57.130001,52.310001,90.82
7/19/17,2294.405,54.060001,100.970001,118.080002,143.100006,66.419998,35.700001,246.990005,216.320007,124.800003,27.48,9.69,148.460007,65.959999,57.419998,52.529999,91.260002
7/20/17,2877.3863,54.259998,100.690002,118.239998,143.199997,66.459999,35.689999,247.100006,216.190002,125.160004,27.16,9.61,148.600006,65.760002,57.540001,52.91,91.07
