,Date,Bitcoin,EWJ,N,B
0,5/1/17,1402.0838,52.060001,0.0,0.0
1,5/2/17,1443.6825,52.220001,0.012688345603889317,0.002369157116458187
2,5/3/17,1491.9988,52.349998,0.022997388500567872,0.005120899502300283
3,5/4/17,1515.6288,52.48,0.03330682790804751,0.006466691141507927
4,5/5/17,1512.2088,52.77,0.056304454315096564,0.006271913003289983
5,5/8/17,1639.3225,52.790001000000004,0.057890576817742456,0.013511377865276827
6,5/9/17,1706.9313,52.619999,0.044409051009290934,0.017361879675554526
7,5/10/17,1756.8025,52.380001,0.025376691207777746,0.020202177771079383
8,5/11/17,1807.3725,52.240002000000004,0.01427446810653521,0.02308227439379333
9,5/12/17,1676.9938,52.369999,0.024583511003214653,0.015656859057747538
10,5/15/17,1697.3788,52.52,0.03647891430902028,0.016817839276336108
11,5/16/17,1718.2013,52.560001,0.03965108001215256,0.018003736288921865
12,5/17/17,1802.1638,52.48,0.03330682790804751,0.02278562501118052
13,5/18/17,1887.3263,52.619999,0.044409051009290934,0.02763585693983145
14,5/19/17,1968.1025,53.049999,0.07850897981974114,0.03223627736331705
15,5/22/17,2139.0275,53.02,0.07612999432117284,0.04197091282381503
16,5/23/17,2291.4775,53.09,0.08168114552287431,0.05065334766923213
17,5/24/17,2476.2963,53.009997999999996,0.07533681411660886,0.061179272163874115
18,5/25/17,2357.5038,53.150002,0.08643943372865248,0.05441372187608001
19,5/26/17,2247.4825,53.18,0.08881833992506127,0.04814771486487579
20,5/30/17,2197.2338,53.290001000000004,0.09754165682989502,0.04528591713567334
21,5/31/17,2330.2338,53.290001000000004,0.09754165682989502,0.05286062251081583
22,6/1/17,2452.1813,53.77,0.1356066143394008,0.05980585847874961
23,6/2/17,2517.4088,54.900002,0.22521821377118556,0.06352073889120907
24,6/5/17,2736.595,54.689999,0.20856452225960087,0.07600397864532227
25,6/6/17,2914.0825,54.73,0.21173668796273315,0.08611236601577793
26,6/7/17,2694.2188,54.709998999999996,0.21015056546008726,0.0735905408263891
27,6/8/17,2825.0313,54.580002,0.19984152256340781,0.08104066223154568
28,6/9/17,2826.7,54.09,0.16098330554717855,0.0811356991553013
29,6/12/17,2682.595,54.259997999999996,0.17446451414698938,0.07292853435767041
30,6/13/17,2738.9313,54.560001,0.19825540006076192,0.07613703717290082
31,6/14/17,2494.485,54.529999,0.19587617665571244,0.06221516722896325
32,6/15/17,2456.9238,54.0,0.1538461111449907,0.060075956525679014
33,6/16/17,2528.1025,54.220001,0.1712926656524978,0.06412977367970651
34,6/19/17,2641.665,54.389998999999996,0.1847738742523095,0.07059746149297433
35,6/20/17,2778.8275,54.060001,0.15860432004860936,0.07840923236528996
36,6/21/17,2712.1575,53.98,0.1522600679445043,0.07461219772347982
37,6/22/17,2740.79,54.09,0.16098330554717855,0.07624289510433521
38,6/23/17,2738.225,54.049999,0.15781113984404627,0.07609681150067177
39,6/26/17,2485.3588,53.900002,0.14591605374688044,0.061695405753815685
40,6/27/17,2593.17,53.77,0.1356066143394008,0.067835541664647
41,6/28/17,2584.5638,54.009997999999996,0.154638974140914,0.06734539557893607
42,6/29/17,2561.5613,53.470001,0.11181604563426983,0.06603534174140438
43,6/30/17,2499.9838,53.650002,0.12609051374080416,0.06252833858172141
44,7/3/17,2581.0663,53.389998999999996,0.10547171422800439,0.06714620360863863
45,7/5/17,2629.2725,53.400002,0.10626497373472787,0.06989167550529424
46,7/6/17,2619.1125,53.009997999999996,0.07533681411660886,0.06931303635783972
47,7/7/17,2521.2363,52.98,0.07295790792020007,0.06373872524326438
48,7/10/17,2371.96,52.84,0.06185560551679803,0.055237041092953215
49,7/11/17,2332.1875,53.200001,0.09040446242770717,0.052971890946089645
50,7/12/17,2423.16,53.57,0.1197461823345396,0.05815301789902311
51,7/13/17,2364.5163,53.5,0.11419503113283902,0.054813102488434795
52,7/14/17,2232.655,53.630001,0.12450439123815826,0.04730324912089137
53,7/17/17,2244.265,53.560001,0.1189532400364568,0.04796446964273651
54,7/18/17,2327.8975,53.84,0.14115776554110226,0.0527275639832373
55,7/19/17,2294.405,54.060001,0.15860432004860936,0.050820076616493265
56,7/20/17,2877.3863,54.259997999999996,0.17446451414698938,0.08402241937376814
57,7/21/17,2694.2913,54.360001000000004,0.18239496805590072,0.0735946698951086
58,7/24/17,2779.0438,54.25,0.17367165115106697,0.07842155122824218
59,7/25/17,2591.2163,54.060001,0.15860432004860936,0.06772427322937319
60,7/26/17,2550.18,54.240002000000004,0.17287878815514457,0.06538714629564416
61,7/27/17,2697.4725,54.419998,0.1871528597508787,0.0737758477352545
62,7/28/17,2805.1788,54.580002,0.19984152256340781,0.0799100093107937
63,7/31/17,2873.8325,54.759997999999996,0.21411559415914194,0.08382002096803745
64,8/1/17,2735.5875,55.080002,0.2394926025755595,0.07594659882828877
65,8/2/17,2723.58,55.049999,0.2371132998683505,0.07526273961932617
66,8/3/17,2814.3613,55.189999,0.24821560227175343,0.08043297722137449
67,8/4/17,2883.6813,55.139998999999996,0.24425049427053747,0.08438093644396755
68,8/7/17,3431.9688,55.119999,0.24266445107005197,0.11560737458963252
69,8/8/17,3453.1625,55.060001,0.2379064800729136,0.11681441243406226
70,8/9/17,3377.5438,54.720001,0.21094374566465035,0.1125077254163834
71,8/10/17,3445.28,54.150002,0.16574159375295672,0.11636548299707311
72,8/11/17,3679.6075,54.07,0.15939726234669216,0.1297110602436423
73,8/14/17,4382.7413,54.470001,0.19111820565857407,0.16975640892262248
74,8/15/17,4204.43,54.400002,0.185567133759033,0.15960110394097857
75,8/16/17,4425.2963,54.580002,0.19984152256340781,0.1721800298793081
76,8/17/17,4316.34,54.209998999999996,0.1704994854479347,0.16597467746377703
77,8/18/17,4159.4575,54.450001,0.18953216245808768,0.15703979989974853
78,8/21/17,4054.9425,54.330002,0.18001598255733153,0.15108739138634236
79,8/22/17,4137.6725,54.439999,0.1887389822535246,0.15579908594036895
80,8/23/17,4191.2175,54.459998999999996,0.19032502545401098,0.15884861676226372
81,8/24/17,4362.475,54.18,0.1681204999493655,0.16860218898619958
82,8/25/17,4408.3238,54.360001000000004,0.18239496805590072,0.1712134006538976
83,8/28/17,4439.6588,54.419998,0.1871528597508787,0.17299801263081557
84,8/29/17,4648.1338,54.310001,0.17842986005468564,0.18487122092467137
85,8/30/17,4630.7275,54.279999,0.17605063664963616,0.18387988563015004
86,8/31/17,4764.8675,54.709998999999996,0.21015056546008726,0.1915195170513652
87,9/1/17,4950.7238,54.490002000000004,0.19270432816122085,0.20210452994320047
88,9/5/17,4422.1213,54.25,0.17367165115106697,0.1719992051457286
89,9/6/17,4626.72,54.48,0.19191114795665687,0.18365164779713591
90,9/7/17,4638.0975,54.799999,0.21728775986227422,0.1842996268227425
91,9/8/17,4317.5375,54.970001,0.23076928567072663,0.16604287828848932
92,9/11/17,4188.845,55.220001,0.2505948256768029,0.15871349654795905
93,9/12/17,4148.2675,55.259997999999996,0.2537666741712945,0.15640249950014065
94,9/13/17,3874.2588,55.150002,0.24504375377726095,0.1407969718856609
95,9/14/17,3226.4125,55.16,0.24583661677318425,0.10390039405952423
96,9/15/17,3686.9,55.240002000000004,0.2521809481794488,0.1301263876041553
97,9/18/17,4067.0775,55.25,0.2529738111753712,0.1517785120609841
98,9/19/17,3896.9988,55.57,0.27835050238314896,0.14209207564679427
99,9/20/17,3858.0888,55.59,0.27993654558363534,0.13987604717952515
100,9/21/17,3612.6813,55.369999,0.26248999107612825,0.1258994343272674
101,9/22/17,3603.3088,55.43,0.267248199979746,0.1253656454090078
102,9/25/17,3927.4988,55.549999,0.27676437988050306,0.14382913214259763
103,9/26/17,3895.5125,55.549999,0.27676437988050306,0.14200742689041027
104,9/27/17,4208.5613,55.66,0.2854876967853359,0.15983639251478554
105,9/28/17,4185.2925,55.700001,0.2886598624884691,0.1585111721807019
106,9/29/17,4164.1038,55.709998999999996,0.2894527254843915,0.15730441909963214
107,10/2/17,4404.0975,55.709998999999996,0.2894527254843915,0.1709727015762512
108,10/3/17,4320.09,56.040001000000004,0.31562259689673233,0.16618824998375284
109,10/4/17,4225.9238,56.049999,0.3164154598926556,0.16082523328227355
110,10/5/17,4322.755,56.02,0.31403647439408644,0.16634002885461566
111,10/6/17,4370.245,55.990002000000004,0.31165756819767765,0.16904471124758946
112,10/9/17,4772.975,56.060001,0.3172086400972187,0.19198126083955294
113,10/10/17,4754.6988,56.459998999999996,0.34892934550261945,0.19094038241566433
114,10/11/17,4830.7663,56.75,0.3719270512118289,0.19527262979253393
115,10/12/17,5439.1338,56.68,0.36637590001012743,0.22992078447157152
116,10/13/17,5640.1275,57.380001,0.4218874913293007,0.24136791274044203
117,10/16/17,5754.2213,57.639998999999996,0.4425058943312994,0.24786585950834003
118,10/17/17,5595.235,57.580002,0.4377480026363214,0.23881116491297147
119,10/18/17,5572.1988,57.52,0.43298971443054324,0.2374991917703936
120,10/19/17,5699.5838,57.389998999999996,0.4226803543252231,0.24475410789229232
121,10/20/17,5984.0863,57.52,0.43298971443054324,0.26095728545613794
122,10/23/17,5895.2988,57.66,0.4440920168339453,0.2559006000915104
123,10/24/17,5518.85,58.139998999999996,0.48215697434345106,0.23446083506274398
124,10/25/17,5733.9038,57.669998,0.4448848798298686,0.246708723595111
125,10/26/17,5888.145,57.98,0.469468708041723,0.25549317206660294
126,10/27/17,5767.68,58.419998,0.5043614998480974,0.2486323684348997
127,10/30/17,6121.8,58.400002,0.5027757738562508,0.2688004486412565
128,10/31/17,6447.6675,58.650002,0.5226013138623271,0.28735947348211544
129,11/1/17,6750.1725,58.98,0.5487708680660273,0.3045879415235251
130,11/2/17,7030.0025,59.049999,0.5543219399655692,0.32052500772748094
