Date,Bitcoin,Stock
2017-12-01,10859.5625,171.05
2017-12-04,11616.855,169.8
2017-12-05,11696.0583,169.64
2017-12-06,13708.9913,169.01
2017-12-07,16858.02,169.452
2017-12-08,16057.145,169.37
2017-12-11,16699.6775,172.67
2017-12-12,17178.1025,171.7
2017-12-13,16407.2025,172.27
2017-12-14,16531.0838,172.22
2017-12-15,17601.9438,173.87
2017-12-18,18960.5225,176.42
2017-12-19,17608.35,174.54
2017-12-20,16454.7225,174.35
2017-12-21,15561.05,175.01
2017-12-22,13857.145,175.01
2017-12-26,15745.2575,170.57
2017-12-27,15378.285,170.6
2017-12-28,14428.76,171.08
2017-12-29,14427.87,169.23
2018-01-02,14740.7563,172.26
2018-01-03,15134.6513,172.23
2018-01-04,15155.2263,173.03
2018-01-05,16937.1738,175.0
2018-01-08,14970.3575,174.35
2018-01-09,14439.4738,174.33
2018-01-10,14890.7225,174.29
2018-01-11,13287.26,175.28
2018-01-12,13812.715,177.09
2018-01-16,11348.02,176.19
2018-01-17,11141.2488,179.1
2018-01-18,11250.6475,179.26
2018-01-19,11514.925,178.46
2018-01-22,10772.15,177.0
2018-01-23,10839.8263,177.04
2018-01-24,11399.52,174.22
2018-01-25,11137.2375,171.11
2018-01-26,11090.0638,171.51
2018-01-29,11158.3938,167.96
2018-01-30,10034.9975,166.97
2018-01-31,10166.5063,167.43
2018-02-01,9052.5763,167.78
2018-02-02,8827.63,160.37
2018-02-05,6914.26,157.49
2018-02-06,7700.3863,163.03
2018-02-07,7581.8038,159.54
2018-02-08,8237.2363,155.32
2018-02-09,8689.8388,155.97
2018-02-12,8891.2125,162.71
2018-02-13,8516.2438,164.34
2018-02-14,9477.84,167.37
2018-02-15,10016.4888,172.99
2018-02-16,10178.7125,172.43
2018-02-20,11228.2413,171.85
2018-02-21,10456.1725,171.07
2018-02-22,9830.4263,172.6
2018-02-23,10149.4625,175.555
2018-02-26,10313.0825,178.97
2018-02-27,10564.4188,178.39
2018-02-28,10309.6413,178.12
2018-03-01,10907.59,175.0
2018-03-02,11019.5213,176.21
2018-03-05,11432.9825,176.82
2018-03-06,10709.5275,176.67
2018-03-07,9906.8,175.03
2018-03-08,9299.2838,176.94
2018-03-09,9237.05,179.98
2018-03-12,9118.2713,181.72
2018-03-13,9144.1475,179.97
2018-03-14,8196.8975,178.44
2018-03-15,8256.9938,178.65
2018-03-16,8269.3275,178.02
2018-03-19,8594.1913,175.3
2018-03-20,8915.9038,175.24
2018-03-21,8895.4,171.27
2018-03-22,8712.8913,168.845
2018-03-23,8918.7438,164.94
2018-03-26,8138.3363,172.77
2018-03-27,7790.1575,168.34
