Date,Bullish,Neutral,Bearish,Total,Bullish 8-Week Mov Avg,Bull-Bear Spread,Bullish Average,Bullish Average + St. Dev,Bullish Average - St. Dev,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
2018-04-26,0.369085,0.375394,0.255521,1.0,0.326363375,0.113564,0.383064534289,0.485318643402,0.280810425176,2717.49,2612.67,2639.4
2018-04-19,0.377834,0.329975,0.292191,1.0,0.32683175,0.085643,0.383064534289,0.485318643402,0.280810425176,2717.49,2639.25,2708.64
2018-04-12,0.26087,0.311594,0.427536,1.0,0.3354165,-0.166666,0.383064534289,0.485318643402,0.280810425176,2672.08,2573.61,2642.19
2018-04-05,0.318966,0.314655,0.366379,1.0,0.363457,-0.047413,0.383064534289,0.485318643402,0.280810425176,2674.78,2553.8,2644.69
2018-03-29,0.319361,0.327345,0.353293,0.999999,0.369870875,-0.033932,0.383064534289,0.485318643402,0.280810425176,2739.14,2585.89,2605.0
2018-03-22,0.332344,0.382789,0.284866,0.999999,0.38591475,0.047478,0.383064534289,0.485318643402,0.280810425176,2777.11,2694.59,2711.93
2018-03-15,0.368421,0.418283,0.213296,1.0,0.401189875,0.155125,0.383064534289,0.485318643402,0.280810425176,2801.9,2701.74,2749.48
2018-03-08,0.264026,0.452145,0.283828,0.999999,0.422778875,-0.019802,0.383064534289,0.485318643402,0.280810425176,2761.52,2647.32,2726.8
2018-03-01,0.372832,0.393064,0.234104,1.0,0.450616375,0.138728,0.383064534289,0.485318643402,0.280810425176,2789.15,2697.77,2713.83
2018-02-22,0.446512,0.325581,0.227907,1.0,0.47870375,0.218605,0.383064534289,0.485318643402,0.280810425176,2754.42,2637.08,2701.33
2018-02-15,0.485194,0.300683,0.214123,1.0,0.488696625,0.271071,0.383064534289,0.485318643402,0.280810425176,2727.67,2532.69,2698.63
2018-02-08,0.370277,0.279597,0.350126,1.0,0.49116925,0.020151,0.383064534289,0.485318643402,0.280810425176,2839.26,2593.07,2681.66
